iter	Passed	Remaining
0	63	63091
1	66	32947
2	68	22666
3	83	20690
4	85	17082
5	88	14621
6	93	13281
7	96	12009
8	100	11020
9	103	10220
10	106	9546
11	108	8959
12	111	8445
13	115	8115
14	118	7761
15	122	7525
16	124	7203
17	126	6896
18	128	6656
19	130	6417
20	134	6250
21	138	6139
22	140	5975
23	143	5836
24	146	5710
25	149	5590
26	152	5490
27	155	5391
28	159	5344
29	162	5263
30	166	5210
31	169	5135
32	172	5062
33	175	4982
34	177	4888
35	179	4804
36	182	4756
37	185	4693
38	187	4615
39	192	4612
40	194	4551
41	197	4506
42	203	4537
43	206	4494
44	218	4628
45	221	4588
46	225	4579
47	228	4522
48	230	4471
49	233	4437
50	236	4392
51	240	4387
52	243	4356
53	249	4369
54	252	4342
55	261	4401
56	264	4379
57	267	4345
58	270	4320
59	273	4292
60	277	4269
61	281	4259
62	284	4226
63	287	4205
64	291	4193
65	298	4225
66	302	4205
67	305	4181
68	307	4148
69	311	4137
70	313	4102
71	315	4070
72	318	4047
73	320	4014
74	322	3981
75	325	3962
76	328	3933
77	331	3913
78	334	3900
79	337	3876
80	339	3856
81	342	3837
82	345	3818
83	348	3800
84	351	3778
85	353	3751
86	355	3731
87	358	3713
88	359	3684
89	361	3657
90	364	3636
91	366	3614
92	368	3591
93	369	3565
94	374	3564
95	376	3549
96	380	3540
97	382	3524
98	385	3508
99	388	3499
100	391	3485
101	393	3468
102	398	3468
103	400	3450
104	403	3436
105	405	3422
106	408	3406
107	411	3400
108	414	3389
109	417	3376
110	421	3378
111	424	3365
112	427	3358
113	430	3343
114	432	3331
115	435	3321
116	438	3306
117	440	3290
118	443	3281
119	446	3272
120	448	3259
121	451	3250
122	453	3235
123	455	3219
124	458	3207
125	461	3198
126	463	3184
127	466	3176
128	468	3165
129	470	3150
130	473	3140
131	476	3130
132	477	3115
133	479	3099
134	482	3091
135	484	3078
136	486	3062
137	488	3048
138	490	3037
139	492	3025
140	494	3011
141	496	3001
142	498	2989
143	500	2978
144	502	2964
145	505	2957
146	507	2946
147	509	2934
148	511	2921
149	513	2912
150	516	2901
151	517	2888
152	519	2878
153	522	2869
154	524	2857
155	525	2844
156	527	2834
157	530	2825
158	532	2816
159	534	2804
160	537	2799
161	539	2788
162	541	2778
163	543	2769
164	545	2760
165	547	2749
166	548	2738
167	551	2729
168	553	2721
169	555	2710
170	557	2700
171	559	2692
172	561	2684
173	563	2675
174	566	2668
175	568	2663
176	570	2654
177	572	2644
178	575	2639
179	577	2632
180	580	2625
181	583	2623
182	585	2615
183	588	2610
184	591	2603
185	593	2595
186	595	2587
187	598	2584
188	600	2576
189	602	2569
190	605	2565
191	608	2560
192	610	2554
193	613	2549
194	616	2545
195	619	2540
196	622	2535
197	624	2529
198	627	2526
199	630	2523
200	633	2518
201	636	2513
202	638	2507
203	641	2503
204	644	2500
205	647	2494
206	649	2486
207	651	2479
208	654	2475
209	656	2469
210	658	2462
211	661	2457
212	663	2452
213	665	2445
214	668	2439
215	670	2434
216	672	2427
217	674	2419
218	677	2415
219	679	2409
220	681	2402
221	684	2397
222	686	2391
223	688	2385
224	690	2378
225	693	2376
226	696	2370
227	698	2364
228	700	2359
229	703	2356
230	706	2351
231	709	2347
232	711	2341
233	713	2334
234	715	2330
235	717	2324
236	719	2317
237	722	2312
238	725	2308
239	727	2302
240	730	2299
241	732	2294
242	734	2287
243	736	2281
244	740	2280
245	742	2275
246	744	2269
247	747	2265
248	749	2260
249	751	2254
250	754	2251
251	757	2249
252	760	2245
253	763	2241
254	765	2235
255	767	2230
256	770	2228
257	773	2225
258	777	2225
259	780	2222
260	783	2218
261	786	2215
262	788	2209
263	791	2205
264	793	2201
265	796	2196
266	798	2193
267	801	2190
268	810	2202
269	814	2202
270	816	2197
271	819	2193
272	825	2197
273	828	2194
274	831	2192
275	834	2189
276	838	2187
277	841	2184
278	844	2181
279	847	2179
280	850	2176
281	853	2172
282	855	2167
283	857	2161
284	860	2158
285	862	2154
286	864	2148
287	867	2144
288	869	2139
289	871	2133
290	873	2128
291	876	2124
292	878	2118
293	879	2113
294	882	2108
295	884	2104
296	886	2098
297	888	2093
298	890	2088
299	893	2083
300	895	2079
301	897	2075
302	900	2070
303	902	2065
304	904	2061
305	906	2056
306	908	2051
307	911	2047
308	913	2043
309	915	2037
310	918	2034
311	920	2030
312	922	2025
313	924	2020
314	927	2016
315	929	2012
316	931	2007
317	935	2005
318	937	2001
319	940	1999
320	944	1997
321	946	1992
322	948	1988
323	951	1985
324	954	1981
325	957	1979
326	960	1976
327	962	1972
328	966	1971
329	968	1967
330	971	1963
331	974	1959
332	976	1955
333	980	1955
334	983	1951
335	985	1947
336	989	1946
337	991	1942
338	995	1940
339	998	1937
340	1002	1937
341	1006	1935
342	1009	1933
343	1012	1930
344	1015	1927
345	1019	1927
346	1022	1924
347	1026	1923
348	1030	1921
349	1033	1919
350	1038	1919
351	1041	1917
352	1044	1914
353	1047	1910
354	1050	1908
355	1057	1912
356	1060	1909
357	1062	1906
358	1066	1904
359	1069	1901
360	1072	1898
361	1076	1896
362	1078	1892
363	1082	1891
364	1085	1888
365	1090	1888
366	1094	1887
367	1099	1887
368	1102	1884
369	1105	1882
370	1108	1879
371	1110	1874
372	1113	1871
373	1115	1867
374	1118	1863
375	1121	1860
376	1124	1857
377	1130	1860
378	1136	1862
379	1140	1860
380	1144	1858
381	1146	1855
382	1149	1852
383	1153	1850
384	1155	1845
385	1157	1841
386	1160	1838
387	1163	1835
388	1166	1832
389	1169	1828
390	1175	1831
391	1179	1829
392	1183	1827
393	1185	1823
394	1187	1819
395	1190	1816
396	1193	1813
397	1196	1810
398	1200	1808
399	1205	1808
400	1210	1808
401	1233	1834
402	1240	1837
403	1261	1860
404	1281	1882
405	1284	1879
406	1288	1876
407	1293	1876
408	1297	1874
409	1302	1874
410	1307	1873
411	1312	1872
412	1314	1867
413	1317	1864
414	1320	1860
415	1322	1856
416	1325	1853
417	1327	1848
418	1329	1844
419	1345	1857
420	1348	1855
421	1352	1852
422	1355	1849
423	1358	1845
424	1362	1844
425	1366	1841
426	1376	1847
427	1380	1844
428	1382	1840
429	1385	1837
430	1388	1833
431	1390	1828
432	1393	1824
433	1396	1821
434	1399	1817
435	1402	1814
436	1405	1810
437	1409	1808
438	1411	1803
439	1414	1800
440	1416	1796
441	1419	1792
442	1421	1787
443	1424	1783
444	1427	1780
445	1429	1776
446	1432	1771
447	1434	1767
448	1436	1763
449	1438	1758
450	1441	1755
451	1443	1750
452	1445	1745
453	1448	1741
454	1450	1737
455	1452	1732
456	1454	1728
457	1457	1724
458	1459	1720
459	1461	1715
460	1464	1711
461	1466	1707
462	1468	1702
463	1470	1698
464	1472	1694
465	1475	1690
466	1476	1685
467	1479	1681
468	1481	1677
469	1484	1673
470	1486	1669
471	1489	1665
472	1491	1661
473	1493	1657
474	1496	1653
475	1498	1649
476	1501	1646
477	1505	1643
478	1508	1640
479	1513	1639
480	1516	1636
481	1520	1633
482	1524	1631
483	1527	1629
484	1531	1626
485	1534	1622
486	1537	1619
487	1540	1615
488	1542	1612
489	1545	1608
490	1547	1604
491	1550	1601
492	1553	1597
493	1556	1594
494	1559	1590
495	1562	1587
496	1564	1583
497	1568	1581
498	1571	1577
499	1574	1574
500	1577	1571
501	1579	1567
502	1582	1564
503	1585	1560
504	1587	1556
505	1591	1554
506	1594	1550
507	1596	1546
508	1599	1542
509	1601	1538
510	1603	1534
511	1606	1531
512	1609	1528
513	1612	1524
514	1615	1520
515	1617	1517
516	1619	1513
517	1622	1509
518	1624	1505
519	1626	1501
520	1629	1498
521	1632	1495
522	1634	1491
523	1637	1487
524	1639	1483
525	1641	1479
526	1644	1476
527	1647	1473
528	1650	1469
529	1653	1466
530	1656	1462
531	1658	1459
532	1661	1455
533	1664	1452
534	1666	1448
535	1670	1445
536	1672	1442
537	1675	1438
538	1677	1435
539	1680	1431
540	1682	1427
541	1685	1424
542	1688	1421
543	1691	1417
544	1694	1414
545	1696	1410
546	1700	1407
547	1703	1404
548	1706	1401
549	1709	1398
550	1712	1395
551	1716	1392
552	1718	1389
553	1722	1386
554	1725	1383
555	1727	1379
556	1730	1376
557	1733	1372
558	1735	1368
559	1738	1365
560	1741	1362
561	1743	1358
562	1746	1355
563	1748	1351
564	1751	1348
565	1754	1345
566	1756	1341
567	1759	1338
568	1761	1334
569	1764	1331
570	1766	1327
571	1770	1324
572	1773	1321
573	1775	1317
574	1778	1314
575	1781	1311
576	1784	1308
577	1787	1304
578	1789	1301
579	1792	1297
580	1795	1294
581	1797	1291
582	1800	1287
583	1802	1284
584	1805	1280
585	1808	1277
586	1811	1274
587	1813	1270
588	1815	1267
589	1818	1263
590	1821	1260
591	1823	1257
592	1826	1253
593	1829	1250
594	1831	1246
595	1834	1243
596	1836	1239
597	1839	1236
598	1842	1233
599	1844	1229
600	1847	1226
601	1849	1222
602	1852	1219
603	1855	1216
604	1857	1213
605	1860	1209
606	1862	1205
607	1864	1202
608	1867	1198
609	1869	1195
610	1872	1192
611	1874	1188
612	1876	1184
613	1879	1181
614	1881	1178
615	1883	1174
616	1886	1171
617	1889	1168
618	1893	1165
619	1895	1161
620	1898	1158
621	1900	1154
622	1904	1152
623	1906	1148
624	1909	1145
625	1912	1142
626	1915	1139
627	1917	1136
628	1919	1132
629	1922	1128
630	1924	1125
631	1926	1121
632	1929	1118
633	1931	1115
634	1934	1111
635	1936	1108
636	1938	1104
637	1941	1101
638	1944	1098
639	1946	1094
640	1949	1091
641	1952	1088
642	1954	1085
643	1957	1082
644	1960	1079
645	1962	1075
646	1965	1072
647	1968	1069
648	1970	1065
649	1973	1062
650	1976	1059
651	1978	1055
652	1981	1053
653	1984	1049
654	1986	1046
655	1990	1043
656	1992	1040
657	1995	1037
658	1998	1034
659	2001	1030
660	2004	1027
661	2007	1024
662	2009	1021
663	2012	1018
664	2015	1015
665	2017	1011
666	2020	1008
667	2023	1005
668	2025	1002
669	2027	998
670	2030	995
671	2033	992
672	2035	988
673	2038	985
674	2040	982
675	2042	979
676	2045	975
677	2047	972
678	2050	969
679	2052	965
680	2054	962
681	2057	959
682	2060	956
683	2065	954
684	2070	952
685	2075	950
686	2078	947
687	2081	943
688	2084	940
689	2087	937
690	2089	934
691	2092	931
692	2094	927
693	2097	924
694	2100	921
695	2103	918
696	2105	915
697	2108	912
698	2110	909
699	2113	905
700	2116	902
701	2118	899
702	2121	896
703	2123	892
704	2126	889
705	2128	886
706	2131	883
707	2134	880
708	2136	877
709	2138	873
710	2142	870
711	2144	867
712	2147	864
713	2149	861
714	2152	857
715	2154	854
716	2161	853
717	2164	850
718	2167	846
719	2169	843
720	2172	840
721	2175	837
722	2178	834
723	2180	831
724	2183	828
725	2186	825
726	2189	822
727	2192	819
728	2194	815
729	2197	812
730	2200	809
731	2202	806
732	2205	803
733	2208	800
734	2210	797
735	2213	793
736	2215	790
737	2218	787
738	2221	784
739	2223	781
740	2226	778
741	2229	775
742	2232	772
743	2234	768
744	2236	765
745	2238	762
746	2241	759
747	2244	756
748	2246	752
749	2248	749
750	2251	746
751	2253	743
752	2255	740
753	2259	737
754	2262	734
755	2264	730
756	2268	728
757	2271	725
758	2273	722
759	2276	718
760	2278	715
761	2281	712
762	2283	709
763	2287	706
764	2289	703
765	2294	700
766	2296	697
767	2298	694
768	2300	691
769	2303	688
770	2305	684
771	2308	681
772	2310	678
773	2312	675
774	2315	672
775	2317	669
776	2320	665
777	2322	662
778	2325	659
779	2327	656
780	2329	653
781	2331	650
782	2333	646
783	2335	643
784	2338	640
785	2340	637
786	2342	634
787	2346	631
788	2348	628
789	2350	624
790	2352	621
791	2355	618
792	2357	615
793	2359	612
794	2361	608
795	2363	605
796	2365	602
797	2367	599
798	2370	596
799	2372	593
800	2374	590
801	2377	586
802	2379	583
803	2381	580
804	2384	577
805	2386	574
806	2388	571
807	2390	568
808	2393	565
809	2395	561
810	2397	558
811	2399	555
812	2402	552
813	2404	549
814	2406	546
815	2408	543
816	2410	540
817	2412	536
818	2414	533
819	2417	530
820	2420	527
821	2423	524
822	2425	521
823	2428	518
824	2431	515
825	2434	512
826	2438	510
827	2441	507
828	2445	504
829	2447	501
830	2450	498
831	2452	495
832	2455	492
833	2459	489
834	2462	486
835	2464	483
836	2467	480
837	2470	477
838	2473	474
839	2475	471
840	2479	468
841	2482	465
842	2486	463
843	2489	460
844	2492	457
845	2495	454
846	2497	451
847	2500	448
848	2504	445
849	2508	442
850	2511	439
851	2515	436
852	2519	434
853	2522	431
854	2525	428
855	2528	425
856	2530	422
857	2534	419
858	2537	416
859	2540	413
860	2542	410
861	2545	407
862	2547	404
863	2549	401
864	2551	398
865	2553	395
866	2555	392
867	2558	389
868	2560	385
869	2562	382
870	2564	379
871	2567	376
872	2569	373
873	2571	370
874	2574	367
875	2576	364
876	2578	361
877	2581	358
878	2584	355
879	2585	352
880	2587	349
881	2590	346
882	2592	343
883	2594	340
884	2597	337
885	2599	334
886	2601	331
887	2603	328
888	2606	325
889	2608	322
890	2610	319
891	2613	316
892	2615	313
893	2617	310
894	2620	307
895	2622	304
896	2624	301
897	2628	298
898	2632	295
899	2634	292
900	2637	289
901	2639	286
902	2641	283
903	2644	280
904	2646	277
905	2648	274
906	2651	271
907	2655	269
908	2657	266
909	2659	263
910	2662	260
911	2664	257
912	2667	254
913	2669	251
914	2671	248
915	2673	245
916	2675	242
917	2678	239
918	2680	236
919	2682	233
920	2684	230
921	2686	227
922	2688	224
923	2691	221
924	2694	218
925	2696	215
926	2698	212
927	2701	209
928	2703	206
929	2705	203
930	2708	200
931	2710	197
932	2712	194
933	2715	191
934	2717	188
935	2719	185
936	2722	183
937	2724	180
938	2727	177
939	2729	174
940	2731	171
941	2734	168
942	2736	165
943	2738	162
944	2741	159
945	2743	156
946	2746	153
947	2749	150
948	2751	147
949	2754	144
950	2756	142
951	2759	139
952	2761	136
953	2764	133
954	2766	130
955	2768	127
956	2771	124
957	2773	121
958	2775	118
959	2778	115
960	2780	112
961	2782	109
962	2784	106
963	2786	104
964	2788	101
965	2790	98
966	2792	95
967	2795	92
968	2797	89
969	2799	86
970	2802	83
971	2804	80
972	2806	77
973	2809	74
974	2811	72
975	2813	69
976	2815	66
977	2818	63
978	2819	60
979	2822	57
980	2824	54
981	2826	51
982	2828	48
983	2830	46
984	2832	43
985	2834	40
986	2837	37
987	2839	34
988	2842	31
989	2845	28
990	2847	25
991	2849	22
992	2851	20
993	2854	17
994	2856	14
995	2859	11
996	2862	8
997	2864	5
998	2866	2
999	2868	0
